epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,433.808,0.62208,4.64352,1.19842,0.39341,0.0755,0.03736,0.03478,0.4121,3.23246,0.70736,0.00333049,0.00333049,0.00333049
2,943.489,0.48791,3.32476,1.05128,0.1806,0.23317,0.10264,0.09891,0.29733,3.01455,0.68281,0.00663084,0.00663084,0.00663084
3,1437.9,0.47757,2.94826,1.04714,0.35563,0.16249,0.08726,0.0803,0.39022,3.29226,0.80717,0.00989819,0.00989819,0.00989819
4,1948.06,0.43276,2.64695,1.03143,0.31475,0.33172,0.24431,0.24031,0.19725,2.27897,0.6166,0.0098515,0.0098515,0.0098515
5,2429.51,0.38547,2.44015,1.011,0.35416,0.36498,0.31222,0.30683,0.2019,2.02692,0.63538,0.009802,0.009802,0.009802
6,2939.25,0.35609,2.34122,0.99836,0.41354,0.41413,0.38195,0.37772,0.17965,1.78815,0.60666,0.0097525,0.0097525,0.0097525
7,3423.11,0.33818,2.27553,0.99056,0.47115,0.44799,0.43685,0.43436,0.1424,1.60344,0.55646,0.009703,0.009703,0.009703
8,3929.17,0.32772,2.23055,0.9853,0.48141,0.47462,0.46752,0.46587,0.14873,1.5315,0.555,0.0096535,0.0096535,0.0096535
9,4418.18,0.32,2.19622,0.98204,0.50901,0.50593,0.49791,0.49449,inf,1.45664,0.53416,0.009604,0.009604,0.009604
10,4927.44,0.31242,2.16709,0.979,0.53279,0.49797,0.51478,0.51256,inf,1.40923,0.52842,0.0095545,0.0095545,0.0095545
11,5425.72,0.30907,2.14925,0.97778,0.53251,0.52566,0.53343,0.53157,0.12497,1.35536,0.51727,0.009505,0.009505,0.009505
12,5908.31,0.30302,2.12865,0.97416,0.53903,0.53583,0.54391,0.54189,0.12567,1.33858,0.51393,0.0094555,0.0094555,0.0094555
13,6408.92,0.30037,2.10662,0.97232,0.54455,0.53875,0.55186,0.54975,0.12224,1.32111,0.51313,0.009406,0.009406,0.009406
14,6910.46,0.29702,2.09218,0.97131,0.55599,0.54487,0.55814,0.55607,inf,1.30697,0.51356,0.0093565,0.0093565,0.0093565
15,7398.86,0.29256,2.07409,0.96979,0.55991,0.55012,0.56214,0.56029,0.11889,1.2973,0.51235,0.009307,0.009307,0.009307
16,7903.82,0.29052,2.06245,0.96766,0.56317,0.5512,0.5658,0.56396,0.11718,1.28932,0.51114,0.0092575,0.0092575,0.0092575
17,8387.85,0.28872,2.05085,0.96734,0.55625,0.5517,0.56781,0.56612,0.11489,1.28569,0.50846,0.009208,0.009208,0.009208
18,8887.62,0.28735,2.03723,0.9664,0.55522,0.55609,0.56974,0.56795,0.11272,1.28191,0.50746,0.0091585,0.0091585,0.0091585
19,9342.99,0.28566,2.0366,0.96508,0.55325,0.56194,0.57156,0.56989,0.11179,1.27758,0.50745,0.009109,0.009109,0.009109
20,9795.27,0.28188,2.02566,0.96348,0.5589,0.55938,0.57388,0.57228,0.11052,1.27392,0.50668,0.0090595,0.0090595,0.0090595
21,10246.8,0.28158,2.01503,0.96341,0.56005,0.55934,0.57588,0.57429,0.11096,1.27024,0.50736,0.00901,0.00901,0.00901
22,10697.2,0.28089,2.00961,0.96291,0.56281,0.56164,0.5775,0.576,0.11125,1.26794,0.50815,0.0089605,0.0089605,0.0089605
23,11148.5,0.28131,2.00217,0.96392,0.56805,0.55853,0.57937,0.57781,0.11095,1.26464,0.50834,0.008911,0.008911,0.008911
